Позначка часу,Група,"Припустим, що ми навчили логістичну регресію. На новому прикладі х вона видає результат hθ(x)=0.4. Це означає (оберіть ВСІ релевантні варіанти)",Припустимо для навчальної множини використовується класифікатор логістичної регресії hθ(x) з двома ознаками. Оберіть всі коректні твердження ,Яку проблему вирішує сингулярний розклад матриці?,Масштабування даних - це,"Для логістичної регресії градієнт обчислюється за формулою. Які із формул коректно описують модифікацію вагових коефіцієнтів логістичної регресії, якщо коефіцієнт швидкості навчання рівний α. Оберіть всі можливі варіанти. ",Оберіть всі вірні твердження,Unnamed: 16,Припустимо для навчальної множини використовується класифікатор логістичної регресії hθ(x) з двома ознаками. Оберіть всі коректні твердження .1,Unnamed: 18,Оберіть на картинках всі приклади переначання моделі на навчальних даних,Оберіть на картинках всі приклади недоначання моделі на навчальних даних,Які із тверджень вірні щодо навчання логістичної регресії?,Які проблеми виникають при навчанні багатофакторної лінійної регресії з використанням нормальної системи рівнянь?,Побудувати модель класифікації на основі персептрона Розенблатта і описати функцію роздільної поверхні для обчислення логічної функції not(A&B). Навести приклади обчислення значень цієї функції. 
03.11.2023 17:19:30,ФІ-04,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1tcvZ5qs0s8ocd9VzHDE8RSorFBqcCzTl
03.11.2023 17:19:54,ФІ-01 ,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1I0mFkIlUoUZjrSEw0w14hxa4ozZyPBL6
03.11.2023 17:35:32,ФБ-06,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення сигмоїдної функції ніколи не перевищує 1, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,"Додавання нової ознаки в модель завжди покращує роботу моделі на навчальних даних, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",B,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1eyemxfG10T3FDP9bCoKnV6pq32aHhOGu
03.11.2023 17:54:09,ФБ-03,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Логістична регересія дозволить розділити класи, оскільки це нелінійна функція",B,A,D,Додавання нових ознак до моделі допоможе уникнути перенавчання,"Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1ZqadAccnOnRIU9szdQUOMnvnufwWoDmk
03.11.2023 17:56:50,ФІ-01,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Значення сигмоїдної функції ніколи не перевищує 1, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1-c1sfc4Yh50Q5HHPGn2Zw58ok2fEgYEG
03.11.2023 18:35:01,ФБ-03,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",D,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Логістична регересія дозволить розділити класи, оскільки це нелінійна функція",C,A,"D, B","Додавання нових ознак до моделі допоможе уникнути перенавчання, Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних",Всі прераховані,https://drive.google.com/open?id=1mFUytmCUKcGwsjJ_h4axRtpJ57KgDlQE
03.11.2023 18:36:35,ФБ-05,"P(y=1|x;θ)=0.6, P(y=0|x;θ)=0.4","При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення сигмоїдної функції ніколи не перевищує 1",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,C,"B, D","A, C",Додавання нових ознак до моделі допоможе уникнути перенавчання,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1kgV2ZCC1hWf-mwxrAVPUWexlIGtKrUgN
03.11.2023 18:45:38,ФБ-05,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1",C,"Логістична регересія дозволить розділити класи, оскільки це нелінійна функція, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",A,A,D,Додавання нових ознак до моделі допоможе уникнути перенавчання,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1iA-GAoFlfi5i4LAQnW1L9haC7ZYIGxKq
03.11.2023 19:03:06,ФБ-02,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат",B,A,D,Додавання нових ознак до моделі допоможе уникнути перенавчання,"Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=143HyaLKkv_UXUx_FinhAmIwnPhHikArb
03.11.2023 19:05:39,ФБ-04,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення сигмоїдної функції ніколи не перевищує 1, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат",B,D,"B, C, A","Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних, Додавання нових ознак до моделі допоможе уникнути перенавчання","Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1aKodN_CW2qCrxQT1AQgDmC4qfNXrWdS2
03.11.2023 19:15:11,ФБ-02,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат",B,A,D,"Додавання параметру регуляризації завжди покращує роботу моделі на навчальних даних, Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних","Погана обумовленість матриці, Сингулярний розклад, Мультиколеніарність",https://drive.google.com/open?id=1fcMtgjoao29adHAO0-fKAkg4x-abYGXM
03.11.2023 19:32:10,ФБ-06,"P(y=0|x;θ)=0.4, P(y=1|x;θ)=0.4","Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання логістичної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно",Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0,B,Додавання нової ознаки в модель завжди покращує роботу моделі на навчальних даних,A,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,Всі прераховані,
03.11.2023 19:53:55,ФБ-05,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Значення сигмоїдної функції ніколи не перевищує 1, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Додавання нової ознаки в модель завжди покращує роботу моделі на навчальних даних",B,A,D,"Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних, Додавання нових ознак до моделі допоможе уникнути перенавчання","Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1wORyj3hD1rfWKIhG7SrtVKFMUTjO_uMU
03.11.2023 19:54:12,ФІ-01,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1APu3638deWJ0stGHSETYJ8jz4WSnpHzn
03.11.2023 19:59:07,ФБ-03,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Спосіб попередньої обробки даних в аналізі даних,"для всіх j одночасно, Одночасно для всіх j","Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення сигмоїдної функції ніколи не перевищує 1, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,Всі прераховані,https://drive.google.com/open?id=1LpGo0-DccgYknx7nttimNUPNvY2i7KLr
03.11.2023 19:59:08,ФБ-02,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання логістичної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,"Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",B,"A, B",D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",
03.11.2023 20:02:24,ФІ-02,P(y=1|x;θ)=0.4,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Перенавчання персептрона,Приведення даних до заданого діапазону,"Одночасно для всіх j, Варіант 2","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення сигмоїдної функції ніколи не перевищує 1",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Логістична регересія дозволить розділити класи, оскільки це нелінійна функція",D,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1nLDXOXx021YTooXh5tJ4bUOL_O-uYRw1
03.11.2023 20:16:50,ФБ-02,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат",B,A,D,Додавання нових ознак до моделі допоможе уникнути перенавчання,"Мультиколеніарність, Погана обумовленість матриці",
03.11.2023 20:18:02,ФІ-02,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Логістична регересія дозволить розділити класи, оскільки це нелінійна функція",B,A,D,"Додавання нових ознак до моделі допоможе уникнути перенавчання, Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних","Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1WSzJqA6JmG_n1kVUJJ-GM7JGAMXX3nsN
03.11.2023 20:23:47,ФБ-04,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат",B,"D, A","C, B, A","Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних, Додавання нових ознак до моделі допоможе уникнути перенавчання","Мультиколеніарність, Погана обумовленість матриці",
03.11.2023 20:24:06,ФБ-02,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення сигмоїдної функції ніколи не перевищує 1, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат",B,A,D,Додавання нових ознак до моделі допоможе уникнути перенавчання,"Погана обумовленість матриці, Мультиколеніарність",
03.11.2023 20:24:53,ФБ-03,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,для всіх j одночасно,"Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,"Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",C,D,"B, C, A",,"Мультиколеніарність, Погана обумовленість матриці",
03.11.2023 20:26:45,ФБ-02,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,"Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",B,A,D,Додавання нових ознак до моделі допоможе уникнути перенавчання,"Погана обумовленість матриці, Мультиколеніарність",
03.11.2023 20:27:19,ФБ-02,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат",B,"A, B",D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1pe9lMyIElOuGCNEvSJbTULFQ_kXbAAfi
